Pattern, Target, Solution size, Nodes, Cut branches, Conflicts, Elapsed time, Best time
./data/si/si4_bvg_b09m_200/si4_b09m_m200.02/pattern, ./data/si/si4_bvg_b09m_200/si4_b09m_m200.02/target, 80, 377, 297, 211, 3, 2
./data/si/si4_bvg_b06_400/si4_b06_m400.05/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.05/target, 160, 726, 566, 5, 10, 7
./data/si/si4_m4D_m4D_1296/si4_m4D_m1296.07/pattern, ./data/si/si4_m4D_m4D_1296/si4_m4D_m1296.07/target, 518, 2360, 1842, 1270, 114, 84
./data/si/si6_bvg_b09_400/si6_b09_m400.00/pattern, ./data/si/si6_bvg_b09_400/si6_b09_m400.00/target, 240, 892, 652, 11, 13, 10
./data/si/si2_bvg_b06_800/si2_b06_m800.02/pattern, ./data/si/si2_bvg_b06_800/si2_b06_m800.02/target, 160, 1126, 966, 5, 36, 25
./data/si/si4_bvg_b09_200/si4_b09_m200.08/pattern, ./data/si/si4_bvg_b09_200/si4_b09_m200.08/target, 80, 372, 292, 11, 3, 2
./data/si/si6_bvg_b06m_400/si6_b06m_m400.00/pattern, ./data/si/si6_bvg_b06m_400/si6_b06m_m400.00/target, 240, 954, 701, 438, 15, 11
./data/si/si2_bvg_b03m_400/si2_b03m_m400.08/pattern, ./data/si/si2_bvg_b03m_400/si2_b03m_m400.08/target, 80, 18416, 17370, 2566, 87, 84
./data/si/si4_bvg_b06_200/si4_b06_m200.08/pattern, ./data/si/si4_bvg_b06_200/si4_b06_m200.08/target, 80, 366, 286, 5, 3, 2
./data/si/si6_bvg_b06_800/si6_b06_m800.08/pattern, ./data/si/si6_bvg_b06_800/si6_b06_m800.08/target, 480, 1766, 1286, 5, 49, 36
./data/si/si2_bvg_b03_200/si2_b03_m200.08/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.08/target, 40, 283, 243, 0, 2, 1
./data/si/si6_bvg_b09_200/si6_b09_m200.08/pattern, ./data/si/si6_bvg_b09_200/si6_b09_m200.08/target, 120, 451, 331, 10, 4, 3
./data/si/si4_bvg_b06_200/si4_b06_m200.04/pattern, ./data/si/si4_bvg_b06_200/si4_b06_m200.04/target, 80, 366, 286, 5, 3, 2
./data/si/si6_bvg_b09_200/si6_b09_m200.03/pattern, ./data/si/si6_bvg_b09_200/si6_b09_m200.03/target, 120, 451, 331, 10, 3, 2
./data/si/si2_bvg_b03m_400/si2_b03m_m400.09/pattern, ./data/si/si2_bvg_b03m_400/si2_b03m_m400.09/target, 80, 2942, 2669, 555, 21, 17
./data/si/si2_bvg_b09_400/si2_b09_m400.02/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.02/target, 80, 572, 492, 11, 9, 6
./data/si/si4_bvg_b09_200/si4_b09_m200.04/pattern, ./data/si/si4_bvg_b09_200/si4_b09_m200.04/target, 80, 371, 291, 10, 3, 2
./data/si/si2_bvg_b06_400/si2_b06_m400.07/pattern, ./data/si/si2_bvg_b06_400/si2_b06_m400.07/target, 80, 566, 486, 5, 9, 6
./data/si/si4_bvg_b09_200/si4_b09_m200.05/pattern, ./data/si/si4_bvg_b09_200/si4_b09_m200.05/target, 80, 371, 291, 10, 3, 2
./data/si/si6_bvg_b06m_800/si6_b06m_m800.08/pattern, ./data/si/si6_bvg_b06m_800/si6_b06m_m800.08/target, 480, 1800, 1320, 834, 57, 43
./data/si/si4_bvg_b09_400/si4_b09_m400.04/pattern, ./data/si/si4_bvg_b09_400/si4_b09_m400.04/target, 160, 732, 572, 11, 11, 8
./data/si/si6_bvg_b03_200/si6_b03_m200.05/pattern, ./data/si/si6_bvg_b03_200/si6_b03_m200.05/target, 120, 443, 323, 1, 3, 2
./data/si/si2_bvg_b09_200/si2_b09_m200.03/pattern, ./data/si/si2_bvg_b09_200/si2_b09_m200.03/target, 40, 291, 251, 10, 2, 1
./data/si/si2_bvg_b03_400/si2_b03_m400.02/pattern, ./data/si/si2_bvg_b03_400/si2_b03_m400.02/target, 80, 563, 483, 1, 9, 6
./data/si/si6_bvg_b09_800/si6_b09_m800.05/pattern, ./data/si/si6_bvg_b09_800/si6_b09_m800.05/target, 480, 1771, 1291, 10, 51, 38
./data/si/si6_bvg_b03_200/si6_b03_m200.07/pattern, ./data/si/si6_bvg_b03_200/si6_b03_m200.07/target, 120, 443, 323, 1, 3, 2
./data/si/si2_bvg_b09_400/si2_b09_m400.07/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.07/target, 80, 572, 492, 11, 9, 6
